DateTimeUTC,temp_01ft,temp_05ft,temp_10ft,temp_40ft,temp_70ft
"2025-12-21 12:15:00","368.4041333"
"2025-12-21 12:30:00","56.20425","55.02598","55.11908","54.67647","54.21402"
"2025-12-21 12:30:00","368.4008596"
"2025-12-21 12:45:00","56.20883","55.01682","55.09924","54.707","54.22165"
"2025-12-21 12:45:00","368.4123173"
"2025-12-21 13:00:00","56.21646","54.99241","55.09924","54.62458","54.17892"
"2025-12-21 13:00:00","368.4121352"
"2025-12-21 13:15:00","56.22867","55.04888","55.11755","54.7131","54.25981"
"2025-12-21 13:15:00","368.4159541"
"2025-12-21 13:30:00","56.22104","55.0275","55.10535","54.73752","54.32543"
"2025-12-21 13:30:00","368.4055876"
"2025-12-21 13:45:00","56.20883","55.06261","55.10992","54.76499","54.3056"
"2025-12-21 13:45:00","368.4064974"
"2025-12-21 14:00:00","56.2302","55.06719","55.09467","54.78026","54.31017"
"2025-12-21 14:00:00","368.409407"
"2025-12-21 14:15:00","56.25157","55.07787","55.14961","54.79094","54.36206"
"2025-12-21 14:15:00","368.4059518"
"2025-12-21 14:30:00","56.2943","55.0794","55.11755","54.80315","54.29491"
"2025-12-21 14:30:00","368.3990406"
"2025-12-21 14:45:00","56.26225","55.07482","55.1603","54.77567","54.40174"
"2025-12-21 14:45:00","368.4019508"
"2025-12-21 15:00:00","56.26988","55.08398","55.11298","54.81841","54.32238"
"2025-12-21 15:00:00","368.4159541"
"2025-12-21 15:15:00","56.11877","55.05346","55.1664","54.83978","54.29948"
"2025-12-21 15:15:00","368.3994047"
"2025-12-21 15:30:00","56.26683","55.1084","55.1313","54.86572","54.27507"
"2025-12-21 15:30:00","368.4048605"
"2025-12-21 15:45:00","56.25767","55.10229","55.15419","54.86267","54.38649"
"2025-12-21 15:45:00","368.4079522"
"2025-12-21 16:00:00","56.26072","55.08092","55.15114","54.85657","54.34375"
"2025-12-21 16:00:00","368.4057697"
"2025-12-21 16:15:00","56.26377","55.13588","55.1725","54.84893","54.44296"
"2025-12-21 16:15:00","368.3977678"
"2025-12-21 16:30:00","56.2943","55.14656","55.19846","54.90846","54.33765"
"2025-12-21 16:30:00","368.4090435"
"2025-12-21 16:45:00","56.27751","55.13435","55.21677","54.84893","54.39106"
"2025-12-21 16:45:00","368.4059518"
"2025-12-21 17:00:00","56.30499","55.1313","55.17403","54.88557","54.29643"
"2025-12-21 17:00:00","368.4054061"
"2025-12-21 17:15:00","56.30804","55.14045","55.20914","54.93593","54.39564"
"2025-12-21 17:15:00","368.3886752"
"2025-12-21 17:30:00","56.36298","55.18166","55.22745","54.93135","54.38801"
"2025-12-21 17:30:00","368.4063153"
"2025-12-21 17:45:00","56.35993","55.19846","55.2595","54.90388","54.42464"
"2025-12-21 17:45:00","368.3952217"
"2025-12-21 18:00:00","56.37367","55.09161","55.2885","54.91914","54.29185"
"2025-12-21 18:00:00","368.4241385"
"2025-12-21 18:15:00","56.36298","55.18929","55.29002","54.92373","54.31322"
"2025-12-21 18:15:00","368.4026785"
"2025-12-21 18:30:00","56.38893","55.21982","55.28087","54.95119","54.26133"
"2025-12-21 18:30:00","368.4030421"
"2025-12-21 18:45:00","56.41182","55.23355","55.27477","54.94051","54.22776"
"2025-12-21 18:45:00","368.4030421"
"2025-12-21 19:00:00","56.4164","55.24576","55.29155","54.96951","54.28423"
"2025-12-21 19:00:00","368.4010411"
"2025-12-21 19:15:00","56.34925","55.23661","55.2946","54.98325","54.40785"
"2025-12-21 19:15:00","368.4084978"
"2025-12-21 19:30:00","56.4164","55.24271","55.30376","55.01225","54.40938"
"2025-12-21 19:30:00","368.3964945"
"2025-12-21 19:45:00","56.45913","55.25798","55.33582","55.04124","54.44906"
"2025-12-21 19:45:00","368.4075886"
"2025-12-21 20:00:00","56.45456","55.26103","55.31597","55.04277","54.29185"
"2025-12-21 20:00:00","368.4337767"
"2025-12-21 20:15:00","56.45456","55.2534","55.30987","55.04429","54.24149"
"2025-12-21 20:15:00","368.4075886"
"2025-12-21 20:30:00","56.49119","55.29155","55.36176","55.08245","53.96218"
"2025-12-21 20:30:00","368.3868563"
"2025-12-21 20:45:00","56.48661","55.29308","55.3526","55.04734","53.99271"
"2025-12-21 20:45:00","368.4104983"
"2025-12-21 21:00:00","56.51408","55.31902","55.39992","55.06872","54.03239"
"2025-12-21 21:00:00","368.4230467"
"2025-12-21 21:15:00","56.52018","55.35413","55.36786","55.0153","54.0095"
"2025-12-21 21:15:00","368.4108619"
"2025-12-21 21:30:00","56.48661","55.32666","55.38465","55.04734","54.06597"
"2025-12-21 21:30:00","368.4081343"
"2025-12-21 21:45:00","56.49882","55.3694","55.41365","55.0855","53.97592"
"2025-12-21 21:45:00","368.409407"
"2025-12-21 22:00:00","56.49577","55.31139","55.40144","55.08703","53.99576"
"2025-12-21 22:00:00","368.3948582"
"2025-12-21 22:15:00","56.50492","55.37703","55.42281","55.14504","53.96828"
"2025-12-21 22:15:00","368.4099527"
"2025-12-21 22:30:00","56.49882","55.36176","55.41823","55.11298","53.94844"
"2025-12-21 22:30:00","368.4119526"
"2025-12-21 22:45:00","56.4973","55.36329","55.41976","55.12519","53.99576"
"2025-12-21 22:45:00","368.4099527"
"2025-12-21 23:00:00","56.56139","55.36023","55.4396","55.14351","53.92403"
"2025-12-21 23:00:00","368.4079522"
"2025-12-21 23:15:00","56.57818","55.24424","55.50064","55.17709","53.94997"
"2025-12-21 23:15:00","368.4103162"
"2025-12-21 23:30:00","56.57666","55.38618","55.44112","55.1725","53.91945"
"2025-12-21 23:30:00","368.4057697"
"2025-12-21 23:45:00","56.57971","55.4045","55.48233","55.21524","53.9866"
"2025-12-21 23:45:00","368.4090435"
"2025-12-22 00:00:00","56.60108","55.40144","55.49149","55.19998","53.9225"
"2025-12-22 00:00:00","368.4088614"
"2025-12-22 00:15:00","56.46371","55.38618","55.48081","55.18014","53.93929"
"2025-12-22 00:15:00","368.4032241"
"2025-12-22 00:30:00","56.5904","55.39534","55.45181","55.18777","53.87061"
"2025-12-22 00:30:00","368.4048605"
"2025-12-22 00:45:00","56.5904","55.41518","55.47012","55.16335","53.98355"
"2025-12-22 00:45:00","368.3972222"
"2025-12-22 01:00:00","56.57208","55.38008","55.49454","55.17098","53.82177"
"2025-12-22 01:00:00","368.4044969"
"2025-12-22 01:15:00","56.57208","55.41212","55.34345","55.17403","53.8645"
"2025-12-22 01:15:00","368.3966766"
"2025-12-22 01:30:00","56.5736","55.40144","55.49759","55.20151","53.83856"
"2025-12-22 01:30:00","368.4019508"
"2025-12-22 01:45:00","56.59955","55.42128","55.48996","55.18624","53.83551"
"2025-12-22 01:45:00","368.4041333"
"2025-12-22 02:00:00","56.55529","55.39534","55.48691","55.18166","53.85229"
"2025-12-22 02:00:00","368.4108619"
"2025-12-22 02:15:00","56.58581","55.45181","55.49607","55.20609","53.85077"
"2025-12-22 02:15:00","368.3983129"
"2025-12-22 02:30:00","56.57818","55.41518","55.45486","55.18624","53.82483"
"2025-12-22 02:30:00","368.3984955"
"2025-12-22 02:45:00","56.57818","55.42587","55.49302","55.21219","53.86908"
"2025-12-22 02:45:00","368.3974043"
"2025-12-22 03:00:00","56.58886","55.42739","55.50217","55.18624","53.78514"
"2025-12-22 03:00:00","368.4001319"
"2025-12-22 03:15:00","56.59803","55.42892","55.50064","55.19388","53.85382"
"2025-12-22 03:15:00","368.3974043"
"2025-12-22 03:30:00","56.57818","55.39534","55.47776","55.1954","53.70578"
"2025-12-22 03:30:00","368.4050425"
"2025-12-22 03:45:00","56.59192","55.42128","55.48539","55.17709","53.83398"
"2025-12-22 03:45:00","368.4012231"
"2025-12-22 04:00:00","56.62702","55.42128","55.52354","55.22745","53.79887"
"2025-12-22 04:00:00","368.4037692"
"2025-12-22 04:15:00","56.60718","55.41976","55.52048","55.21524","53.85382"
"2025-12-22 04:15:00","368.4054061"
"2025-12-22 04:30:00","56.60566","55.41365","55.5037","55.20456","53.76682"
"2025-12-22 04:30:00","368.4101342"
"2025-12-22 04:45:00","56.59345","55.4167","55.52048","55.25035","53.82177"
"2025-12-22 04:45:00","368.4055876"
"2025-12-22 05:00:00","56.55987","55.43349","55.50675","55.23661","53.75462"
"2025-12-22 05:00:00","368.3970407"
"2025-12-22 05:15:00","56.46218","55.45639","55.4686","55.2473","53.87824"
"2025-12-22 05:15:00","368.4010411"
"2025-12-22 05:30:00","56.64992","55.37855","55.50217","55.23203","53.88129"
"2025-12-22 05:30:00","368.4063153"
"2025-12-22 05:45:00","56.56597","55.45639","55.46096","55.2244","53.90724"
"2025-12-22 05:45:00","368.4012231"
"2025-12-22 06:00:00","56.61176","55.45486","55.49607","55.2534","53.86908"
"2025-12-22 06:00:00","368.3995868"
"2025-12-22 06:15:00","56.56902","55.4167","55.5266","55.24271","53.88892"
"2025-12-22 06:15:00","368.4106804"
"2025-12-22 06:30:00","56.61481","55.43349","55.49454","55.21524","53.91487"
"2025-12-22 06:30:00","368.4041333"
"2025-12-22 06:45:00","56.59955","55.43349","55.50828","55.1313","53.89655"
"2025-12-22 06:45:00","368.4103162"
"2025-12-22 07:00:00","56.5736","55.42739","55.46249","55.25187","53.90113"
"2025-12-22 07:00:00","368.4003139"
